,Unnamed: 0,index,easting,northing,route,geometry,closest_dense_hub,distance_to_closest_dense_hub,closest_elargie_hub,distance_to_closest_large_hub,TMJA_PL,percentage_traffic,Quantity_sold_per_day(in kg),Revenues_day,Region,Quantity_sold_per_year(in kg),not_prof,small_station,medium_station,large_station,station_type,Revenues,EBITDA,Opex,EBIT,depreciation,date_installation
138,7938,7938,842256.9344612426,6400101.441726571,N0007,POINT (842256.9344612426 6400101.441726571),1.0,"0    7138.669401
dtype: float64",5.0,"0    5412.989923
dtype: float64",783554.34,0.007308995115195264,8112.984577866743,56790.8920450672,Auvergne-Rhône-Alpes,2961239.3709213613,0,0,0,1,large,20728675.596449528,20518675.596449528,210000.0,19318675.596449528,-1200000.0,2023
139,7624,7624,814385.913999997,6532111.048,N0007,POINT (814385.913999997 6532111.048),1.0,"0    22162.013688
dtype: float64",5.0,"0    793.592635
dtype: float64",783554.34,0.007308995115195264,8112.984577866743,56790.8920450672,Auvergne-Rhône-Alpes,2961239.3709213613,0,0,0,1,large,20728675.596449528,20518675.596449528,210000.0,19318675.596449528,-1200000.0,2023
140,4084,4084,917094.1448011784,6499970.319431552,A0043,POINT (917094.1448011784 6499970.319431552),1.0,"0    8423.366774
dtype: float64",5.0,"0    6108.743417
dtype: float64",140757.88999999998,0.0013129896395382003,1457.4184998874023,10201.929499211816,Auvergne-Rhône-Alpes,531957.7524589018,1,0,0,0,small,3723704.2672123127,0.0,0.0,0.0,0.0,2029
141,7736,7736,840999.657993494,6475044.600829689,N0007,POINT (840999.657993494 6475044.600829689),1.0,"0    8218.40443
dtype: float64",5.0,"0    24.128112
dtype: float64",783554.34,0.007308995115195264,8112.984577866743,56790.8920450672,Auvergne-Rhône-Alpes,2961239.3709213613,0,0,0,1,large,20728675.596449528,20518675.596449528,210000.0,19318675.596449528,-1200000.0,2023
142,7466,7466,727141.8551376485,6589629.303598914,N0007,POINT (727141.8551376485 6589629.303598914),1.0,"0    49979.590015
dtype: float64",5.0,"0    14507.051027
dtype: float64",783554.34,0.007308995115195264,8112.984577866743,56790.8920450672,Auvergne-Rhône-Alpes,2961239.3709213613,0,0,0,1,large,20728675.596449528,20518675.596449528,210000.0,19318675.596449528,-1200000.0,2023
143,8061,8061,836703.3033902332,6372439.649653194,N0007,POINT (836703.3033902332 6372439.649653194),1.0,"0    8779.266213
dtype: float64",5.0,"0    2579.170593
dtype: float64",783554.34,0.007308995115195264,8112.984577866743,56790.8920450672,Auvergne-Rhône-Alpes,2961239.3709213613,0,0,0,1,large,20728675.596449528,20518675.596449528,210000.0,19318675.596449528,-1200000.0,2023
144,8083,8083,835915.7336710833,6368774.067804479,N0007,POINT (835915.7336710833 6368774.067804479),1.0,"0    5381.29376
dtype: float64",5.0,"0    5381.29376
dtype: float64",783554.34,0.007308995115195264,8112.984577866743,56790.8920450672,Auvergne-Rhône-Alpes,2961239.3709213613,0,0,0,1,large,20728675.596449528,20518675.596449528,210000.0,19318675.596449528,-1200000.0,2023
145,7456,7456,728206.2083542844,6595261.843546169,N0007,POINT (728206.2083542844 6595261.843546169),1.0,"0    48208.627073
dtype: float64",5.0,"0    8818.206508
dtype: float64",783554.34,0.007308995115195264,8112.984577866743,56790.8920450672,Auvergne-Rhône-Alpes,2961239.3709213613,0,0,0,1,large,20728675.596449528,20518675.596449528,210000.0,19318675.596449528,-1200000.0,2023
146,7831,7831,844184.7785858421,6446103.671940813,N0007,POINT (844184.7785858421 6446103.671940813),1.0,"0    3947.27275
dtype: float64",5.0,"0    3947.27275
dtype: float64",783554.34,0.007308995115195264,8112.984577866743,56790.8920450672,Auvergne-Rhône-Alpes,2961239.3709213613,0,0,0,1,large,20728675.596449528,20518675.596449528,210000.0,19318675.596449528,-1200000.0,2023
147,11644,11644,665669.4517773162,6427588.364948501,N0122,POINT (665669.4517773162 6427588.364948501),1.0,"0    9373.629873
dtype: float64",5.0,"0    9373.629873
dtype: float64",11557.72,0.00010781041557729693,119.66956129079959,837.6869290355971,Auvergne-Rhône-Alpes,43679.38987114185,1,0,0,0,small,305755.72909799294,0.0,0.0,0.0,0.0,2029
